ano,cod_ibge_estado,uf,nome_estado,regiao,receita_contribuicao,comp_vaaf,comp_vaat,comp_vaar,comp_uniao_total,total_receitas,mat_estadual_total,mat_municipal_total_uf,mat_publica_total_uf,mat_total_uf,total_municipios,fundeb_municipal_total,media_per_aluno_municipal,mediana_per_aluno_municipal,media_per_capita,media_ideb_iniciais,media_ideb_finais,municipios_com_ideb,fundeb_per_aluno_estadual,razao_per_aluno,pct_mat_estadual,fundeb_total_uf
2026,12,AC,Acre,Norte,1495329066.37,0.0,0.0,0.0,0.0,1495329066.37,139704.0,96130.0,239070.0,253918.0,23,2604465011.48,12067.97,12000.36,1951.32,5.14,4.34,22,10703.55,0.892,58.4,4099794077.85
2026,27,AL,Alagoas,Nordeste,1370343417.98,308796834.61,0.0,59427771.35,368224605.96,1738568023.94,171008.0,579114.0,760503.0,891409.0,103,8119301229.93,11227.55,11049.44,2770.25,5.91,4.9,100,10166.59,0.92,22.5,9857869253.87
2026,13,AM,Amazonas,Norte,2442443569.64,641686565.04,0.0,244191352.55,885877917.59,3328321487.23,421864.0,620650.0,1053129.0,1149598.0,63,9824595590.3,12268.06,12102.3,2839.07,4.69,4.19,62,7889.56,0.652,40.1,13152917077.53
2026,16,AP,Amapá,Norte,1212510424.99,0.0,0.0,0.0,0.0,1212510424.99,109122.0,78801.0,190128.0,213345.0,17,2202969965.14,12456.14,11655.68,1750.34,4.23,3.88,15,11111.51,0.953,57.4,3415480390.13
2026,29,BA,Bahia,Nordeste,4625640844.61,1614721665.88,0.0,0.0,1614721665.88,6240362510.49,679936.0,2160105.0,2862455.0,3440528.0,418,30940076961.88,12628.05,12086.7,2425.34,4.94,3.95,412,9177.87,0.759,23.8,37180439472.37
2026,23,CE,Ceará,Nordeste,2681181206.96,1421100900.9,0.0,0.0,1421100900.9,4102282107.86,392816.0,1331455.0,1737358.0,2136831.0,185,21053418617.52,13509.24,13255.09,2434.25,6.77,5.55,184,10443.27,0.788,22.6,25155700725.38
2026,53,DF,Distrito Federal,Centro-Oeste,3533298761.67,0.0,0.0,0.0,0.0,3533298761.67,,,,,1,3533298761.67,,,,,,0,,,,7066597523.34
2026,32,ES,Espírito Santo,Sudeste,2117907082.75,0.0,0.0,0.0,0.0,2117907082.75,216220.0,523323.0,752583.0,870274.0,79,7257004744.41,10833.51,10373.29,1422.15,6.33,5.25,78,9795.15,0.944,28.7,9374911827.16
2026,52,GO,Goiás,Centro-Oeste,4658022277.78,0.0,0.0,355957123.02,355957123.02,5013979400.8,467897.0,699073.0,1176384.0,1462739.0,247,11525226580.54,8857.02,8552.9,976.53,6.27,5.45,243,10715.99,1.253,39.8,16539205981.34
2026,21,MA,Maranhão,Nordeste,2000708761.61,1406107637.94,401682693.99,232492505.42,2040282837.35,4040991598.96,308457.0,1352045.0,1680010.0,1920497.0,218,20078766949.87,11945.14,11852.94,2680.36,5.01,4.24,217,13100.66,1.105,18.4,24119758548.83
2026,31,MG,Minas Gerais,Sudeste,13193872496.36,0.0,0.0,0.0,0.0,13193872496.36,1629756.0,1817606.0,3494662.0,4310112.0,854,31065170366.91,9692.32,9304.72,942.44,6.11,4.69,833,8095.61,0.87,46.6,44259042863.27
2026,50,MS,Mato Grosso do Sul,Centro-Oeste,2162837393.7,0.0,0.0,0.0,0.0,2162837393.7,186917.0,376732.0,571220.0,677170.0,80,5701446906.42,9609.3,9357.29,1381.0,5.29,4.58,79,11571.11,1.237,32.7,7864284300.12
2026,51,MT,Mato Grosso,Centro-Oeste,3336491538.15,0.0,0.0,0.0,0.0,3336491538.15,331014.0,435188.0,776630.0,894290.0,143,7964918309.11,10691.25,10516.2,1409.11,5.69,4.74,138,10079.61,0.958,42.6,11301409847.26
2026,15,PA,Pará,Norte,2734807279.94,1395652774.44,0.0,147456256.66,1543109031.1,4277916311.04,491473.0,1453371.0,1959578.0,2204948.0,145,20513524003.8,11788.09,11470.34,2561.0,4.65,4.06,143,8704.28,0.759,25.1,24791440314.84
2026,25,PB,Paraíba,Nordeste,1784169701.78,113288633.11,0.0,0.0,113288633.11,1897458334.89,204106.0,553806.0,769792.0,959178.0,224,7861113326.08,11010.7,10751.78,2007.05,5.34,4.3,217,9296.44,0.865,26.5,9758571660.97
2026,26,PE,Pernambuco,Nordeste,4046387084.0,514646962.02,0.0,335812234.13,850459196.15,4896846280.15,538589.0,1082028.0,1636994.0,2149016.0,185,15785037836.24,10374.75,10232.29,1538.14,5.31,4.68,184,9091.99,0.889,32.9,20681884116.39
2026,22,PI,Piauí,Nordeste,1796797073.56,763922356.76,758835285.05,87110191.74,1609867833.55,3406664907.11,198306.0,537072.0,748527.0,860073.0,225,10252492073.83,13798.67,13815.41,2739.46,5.42,4.66,222,17178.83,1.243,26.5,13659156980.94
2026,41,PR,Paraná,Sul,8226837333.08,0.0,0.0,620676359.22,620676359.22,8847513692.3,893657.0,1087821.0,1993822.0,2464010.0,400,19048712798.8,9431.34,9250.53,1054.73,6.55,5.43,389,9900.35,1.07,44.8,27896226491.1
2026,33,RJ,Rio de Janeiro,Sudeste,4440522828.2,18012601.13,0.0,0.0,18012601.13,4458535429.33,685035.0,1673436.0,2394201.0,3448019.0,93,17653740053.69,7547.97,7555.0,949.06,5.5,4.5,92,6508.48,0.861,28.6,22112275483.02
2026,24,RN,Rio Grande do Norte,Nordeste,1777143424.93,0.0,0.0,0.0,0.0,1777143424.93,199137.0,399329.0,618292.0,796526.0,168,5751962109.06,10229.4,9783.36,1626.19,4.84,3.84,161,8924.23,0.912,32.2,7529105533.99
2026,11,RO,Rondônia,Norte,1804586618.88,0.0,0.0,0.0,0.0,1804586618.88,177050.0,161994.0,344279.0,388322.0,53,3566661796.85,11188.9,11205.15,1202.81,5.41,4.68,51,10192.53,0.91,51.4,5371248415.73
2026,14,RR,Roraima,Norte,1007363953.48,0.0,0.0,0.0,0.0,1007363953.48,78127.0,84379.0,165373.0,180965.0,16,2096329205.6,13748.87,12259.76,2313.64,4.65,3.82,13,12893.93,1.052,47.2,3103693159.08
2026,43,RS,Rio Grande do Sul,Sul,6394808320.76,0.0,0.0,0.0,0.0,6394808320.76,738749.0,1006820.0,1771585.0,2272051.0,498,17625942110.57,11538.1,11362.46,1217.02,6.3,5.05,440,8656.27,0.762,41.7,24020750431.33
2026,42,SC,Santa Catarina,Sul,4925590029.2,0.0,0.0,0.0,0.0,4925590029.2,528116.0,871805.0,1418465.0,1726930.0,296,13560984436.37,10283.26,10072.08,1341.55,6.3,4.89,281,9326.72,0.926,37.2,18486574465.57
2026,28,SE,Sergipe,Nordeste,1369304857.29,0.0,0.0,92984942.66,92984942.66,1462289799.95,148751.0,261215.0,414499.0,530674.0,76,4539693656.56,12364.68,11839.13,1943.1,4.65,3.9,73,9830.45,0.83,35.9,6001983456.51
2026,35,SP,São Paulo,Sudeste,30674592447.22,0.0,0.0,0.0,0.0,30674592447.22,3672009.0,3875202.0,7565585.0,10079302.0,646,66226514815.85,8750.27,8528.44,949.88,6.45,5.28,643,8353.63,0.98,48.5,96901107263.07
2026,17,TO,Tocantins,Norte,1533933457.31,0.0,0.0,0.0,0.0,1533933457.31,140783.0,201318.0,346036.0,385207.0,140,3931638176.62,12340.3,12021.51,1644.82,4.93,4.48,136,10895.73,0.906,40.7,5465571633.93
